id,name,year,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
656484,"Gray, Tristan",2024,144,0.9,96,74.42154361,0.4930555556,0.3333333333,0.2222222222,0.1875,0.125,7.303070694,3,-4.29531779,48,0.3333333333,54,0.375
671056,"Herrera, Iván",2024,703,0.9059278351,549,74.39539768,0.4765291607,0.3224043716,0.2517780939,0.1876138434,0.146514936,7.840217368,4,-9.046197523,154,0.2190611664,273,0.3883357041
696100,"Goodman, Hunter",2024,1035,0.905511811,728,74.38020631,0.4270531401,0.3090659341,0.2173913043,0.1634615385,0.1149758454,7.255008937,27,5.74857534,307,0.2966183575,356,0.3439613527
665052,"Conine, Griffin",2024,139,0.908496732,90,74.35379086,0.4532374101,0.3555555556,0.2302158273,0.2,0.1294964029,7.514512158,1,1.564142415,49,0.3525179856,51,0.3669064748
677951,"Witt Jr., Bobby",2024,1118,0.9074675325,868,74.33886995,0.4508050089,0.349078341,0.271019678,0.2004608295,0.1556350626,7.033687218,24,-2.682367892,250,0.2236135957,456,0.4078711986
683770,"Robertson, Will",2024,125,0.8992805755,85,74.33359184,0.48,0.2117647059,0.144,0.1176470588,0.08,7.98960888,5,-9.062473932,40,0.32,42,0.336
671739,"Harris II, Michael",2024,1073,0.9039595619,824,74.32473815,0.4072693383,0.3118932039,0.2395153774,0.1881067961,0.1444547996,8.043171855,22,-29.67883842,249,0.2320596459,438,0.4082013048
667690,"Stubbs, C.J.",2024,6,1,6,74.31693333,0.5,0.3333333333,0.3333333333,0.1666666667,0.1666666667,7.183013333,0,-0.7695016157,0,0,3,0.5
663698,"Bart, Joey",2024,475,0.9030418251,346,74.29897434,0.4463157895,0.3005780347,0.2189473684,0.1705202312,0.1242105263,7.323219853,16,-16.49693339,129,0.2715789474,171,0.36
672016,"Clarke, Denzel",2024,260,0.9122807018,179,74.2957655,0.4307692308,0.2849162011,0.1961538462,0.1452513966,0.1,7.7044875,7,-2.878846343,81,0.3115384615,82,0.3153846154
